date,AT_th,BE_th,BG_th,CZ_th,DK_th,DE_th,EE_th,IE_th,ES_th,FR_th,HR_th,IT_th,LV_th,LT_th,LU_th,HU_th,NL_th,PL_th,PT_th,RO_th,SI_th,SK_th,FI_th,SE_th,NO_th,CH_th,UK_th,EL_th
2019-08-22 14:00,3089.986349,4035.950924,835.252221,3752.420509,0,29300.82339,0,2644.805378,25.6777095,10469.18194,680.880943,626.1278036,0,0,191.0331941,2270.109993,6067.101335,12901.0254,0,4146.379709,754.5860664,1648.188647,0.183918882,1.996868508,123.2460944,414.9249977,24693.69976,0.027398803
2019-08-22 15:00,3449.826984,4196.319834,869.2978278,3965.62622,0,32260.58639,0,2756.946506,78.72356562,11578.15764,763.8738938,971.1249417,0,0,214.6440383,2529.31528,6401.633186,14227.35278,2.588041517,4153.882206,828.5279172,1851.836338,0.24100443,2.040542243,119.5266818,530.1691611,26136.31078,0.771517014
2019-08-22 16:00,3461.434746,4568.457948,935.1193343,4186.954053,0,32953.82681,0,2931.196567,288.2569695,11670.03499,763.8738938,1300.117055,0,0,212.4975979,2532.617258,6868.790092,14566.60125,15.74406866,4436.476239,851.2792559,1832.82922,0.611976362,2.157641368,132.7554318,735.2879422,27893.35917,4.278752531
2019-08-22 17:00,3709.840861,4932.372015,980.5134768,4546.357966,0,35400.92398,2.413864641,3131.32535,540.0432473,12595.256,816.3796382,1914.924962,0,0,227.5226806,2702.669134,7351.782825,15645.67974,52.47399081,4654.048636,917.637327,1952.302532,206.7396757,9.210485171,164.4959694,1292.848962,29588.21116,34.15378689
2019-08-22 18:00,3907.172822,5008.444447,930.5799201,4682.403515,0,36963.82828,633.0357541,3331.454133,919.1408531,13202.936,858.7229804,6496.034222,28.04191011,1.998324122,240.4013229,2838.050239,7496.284749,16314.5934,152.2656925,4153.882206,953.66028,2060.914634,4133.031449,950.9014192,1147.494961,6686.814016,32181.45564,198.8413848
2019-08-22 19:00,3493.936481,4646.586392,717.2274506,4276.297399,214.8480933,33263.08675,915.7707737,3262.444207,1668.251948,11823.1639,765.5676275,11124.32058,92.71719667,23.13458402,212.4975979,2534.268247,6942.030793,14693.10068,489.0459564,3056.016891,856.9670905,1830.113917,5166.830088,3784.299527,4375.51822,11103.8676,32825.87948,298.7627171
2019-08-22 20:00,2614.068091,3534.284074,481.1779099,3254.940518,370.6468923,24825.89421,1034.966587,3029.53571,2024.221934,8989.473086,569.0945195,12460.49848,151.6745679,204.4431774,160.9830287,1857.362722,5208.007704,10888.53444,821.5823384,1840.612464,637.0374832,1335.928854,5865.627556,5346.308065,5173.821113,12950.26958,29916.46995,312.5635393
2019-08-22 21:00,1629.72984,2347.965336,401.7381606,2050.835885,477.7279983,15481.67753,1177.96824,2215.218595,2323.827161,5659.322217,348.90914,13589.18517,268.1751058,424.7413016,105.1755788,1130.927524,3436.374524,6656.553441,1098.796,1255.417741,382.9808679,811.8754619,6522.041862,6439.844723,5805.757561,12616.15472,22731.0577,371.8099692
2019-08-22 22:00,1060.949483,1667.425471,447.1323031,1429.493527,690.0802189,10411.05973,1333.224959,1463.010411,2847.322068,4688.968479,248.9788523,15589.12771,501.9872534,629.0538778,68.68609225,787.5217941,2440.696883,4555.896207,1357.70443,1397.965173,265.4322847,529.4839969,7160.081997,7356.827581,6239.407199,12268.3483,14429.56555,426.1707624
2019-08-22 23:00,1214.171946,1743.497903,442.5928888,1557.416954,942.7140452,11592.05912,1457.273549,1257.705884,3613.772587,5286.977178,277.772325,17483.87424,735.3829511,811.9899001,77.27185378,878.3261938,2545.609239,5069.560567,1783.727091,1345.447698,290.0795683,602.7971657,7624.813505,8223.738415,6458.076854,12238.30202,11625.54437,473.2656321
2019-08-23 0:00,1177.027107,1716.769751,515.2235167,1526.958995,1187.642317,11239.2122,1537.392807,1281.859358,4429.891661,5177.369114,267.6099229,19699.41676,974.2572456,935.1433444,72.97897301,840.3534448,2488.204365,4923.894555,2280.586038,1523.006781,282.4957887,572.9288376,8135.074352,9110.509753,6742.6386,12225.45588,12468.65117,496.1060949
2019-08-23 1:00,1337.214228,2298.621056,778.5095429,1929.00405,1065.446563,13406.10741,1549.369484,1349.144035,5392.312195,6060.681155,299.790863,22265.98041,1127.011144,946.1308925,83.71117493,988.9424626,3357.195388,5882.223585,2961.852565,2563.352956,335.5822456,657.1032166,8547.877776,10971.76127,7318.825195,11853.83869,12615.50379,556.6395997
2019-08-23 2:00,2200.83175,3291.674696,1409.488123,2997.063134,1208.494509,21581.77811,1547.288061,1568.250547,6704.939193,9489.156904,496.2639709,24261.28041,1207.447729,1079.947355,130.9328633,1649.338097,4812.112021,9682.956517,5614.870734,5349.279975,559.3037427,1113.274045,9114.270048,11860.99615,7673.583542,11850.85753,15193.19917,604.1511722
2019-08-23 3:00,4480.596284,5896.641492,1690.931806,5350.448075,1334.667406,42997.51062,1551.694742,2135.857181,7527.503509,18309.38225,1019.627681,25069.08953,1245.559236,1243.729474,268.3050478,3336.648943,8575.100484,19463.66259,6867.73757,6972.320042,1126.191265,2351.452007,9374.627793,12453.51195,7804.175694,12063.3334,22971.20492,633.2692138
2019-08-23 4:00,5803.881197,6963.711553,1625.110299,6647.957115,1459.497893,54844.86487,950.5231911,3277.971441,7930.85925,23056.37852,1326.193479,27305.44183,998.2193674,1081.525721,345.5769016,4361.913165,10257.65713,24983.63781,7804.813242,6674.721015,1444.710007,3103.590812,6673.53167,11409.74372,7558.520596,12507.92432,40187.51487,609.0855386
