h,n,id,Demand,rl,pump_in,pump_out,pump_net,rl_w_pumping,rrl,rrlwp,xid
2016-05-27T22:00:00Z,LT,2008,985,912.93578,687.2168200000001,0,-687.2168200000001,1600.1526000000001,2064,8634,0.7643835616438356
2016-03-03T02:00:00Z,LT,1996,998,941.73514,546.0296117526925,0,-546.0296117526925,1487.7647517526925,2065,7484,0.764269406392694
2016-04-26T03:00:00Z,LT,2008,913,913,0,0,0,913,2065,1889,0.764269406392694
2016-10-23T01:00:00Z,LT,1996,961,941.9125,0,0,0,941.9125,2066,1936,0.7641552511415525
2016-12-26T04:00:00Z,LT,2008,918,913.23067,743.1110000000001,0,-743.1110000000001,1656.3416700000002,2066,8725,0.7641552511415525
2016-03-15T09:00:00Z,LT,1996,1273,941.9946381289756,236.93399541343433,0,-236.93399541343433,1178.92863354241,2067,4641,0.7640410958904109
2016-09-21T03:00:00Z,LT,2008,1000,913.23077,0,0,0,913.23077,2067,1890,0.7640410958904109
2016-06-24T05:00:00Z,LT,1996,954,942.0783923172912,0,0,0,942.0783923172912,2068,1937,0.7639269406392695
2016-02-06T03:00:00Z,LT,2008,1013,913.34798,0,0,0,913.34798,2068,1891,0.7639269406392695
2016-05-07T00:00:00Z,LT,1996,987,942.10111,0,0,0,942.10111,2069,1938,0.7638127853881278
2016-03-31T22:00:00Z,LT,2008,1032,913.41827,0,0,0,913.41827,2069,1892,0.7638127853881278
2016-04-04T03:00:00Z,LT,1996,999,942.20069,569.970540275021,0,-569.970540275021,1512.1712302750211,2070,7686,0.7636986301369864
2016-07-04T01:00:00Z,LT,2008,917,913.46754,0,0,0,913.46754,2070,1893,0.7636986301369864
2016-07-26T05:00:00Z,LT,1996,946,942.2235919769953,0,0,0,942.2235919769953,2071,1939,0.7635844748858447
2016-05-08T00:00:00Z,LT,2008,969,913.48846,671.88014,0,-671.88014,1585.3686,2071,8454,0.7635844748858447
2016-08-29T15:00:00Z,LT,1996,1125,942.3769715502082,0,0,0,942.3769715502082,2072,1940,0.7634703196347032
2016-03-11T10:00:00Z,LT,2008,1252,913.6222920450216,0,0,0,913.6222920450216,2072,1894,0.7634703196347032
2016-09-14T22:00:00Z,LT,1996,1022,942.71816,0,387.8831082634499,387.8831082634499,554.8350517365501,2073,112,0.7633561643835616
2016-01-28T23:00:00Z,LT,2008,1096,913.66602,0,0,0,913.66602,2073,1895,0.7633561643835616
2016-07-10T13:00:00Z,LT,1996,1331,942.755569044989,0,0.0022109463296337006,0.0022109463296337006,942.7533580986593,2074,1941,0.7632420091324201
2016-07-28T22:00:00Z,LT,2008,945,914.02735,0,31.740667832891063,31.740667832891063,882.2866821671089,2074,1614,0.7632420091324201
2016-08-29T09:00:00Z,LT,1996,1236,942.8107013339268,0,0,0,942.8107013339268,2075,1942,0.7631278538812786
2016-01-10T21:00:00Z,LT,2008,1258,914.16541,0,76.66074480993645,76.66074480993645,837.5046651900635,2075,1309,0.7631278538812786
2016-07-24T00:00:00Z,LT,1996,951,942.81528,0,0,0,942.81528,2076,1943,0.763013698630137
2016-05-24T08:00:00Z,LT,2008,1172,914.4712711539058,403.0289384849124,0,-403.0289384849124,1317.5002096388182,2076,6637,0.763013698630137
2016-07-22T23:00:00Z,LT,1996,965,942.83814,0,0,0,942.83814,2077,1944,0.7628995433789955
2016-09-20T05:00:00Z,LT,2008,1002,914.7879399999999,0,0,0,914.7879399999999,2077,1901,0.7628995433789955
2016-08-02T06:00:00Z,LT,1996,1003,942.8529705227295,0,0,0,942.8529705227295,2078,1945,0.7627853881278539
2016-03-04T00:00:00Z,LT,2008,974,915.03744,640.0816263364663,0,-640.0816263364663,1555.1190663364664,2078,8304,0.7627853881278539
2016-02-07T23:00:00Z,LT,1996,1060,942.87401,0,0,0,942.87401,2079,1946,0.7626712328767123
2016-06-05T23:00:00Z,LT,2008,923,915.10541,685.04719,0,-685.04719,1600.1526,2079,8593,0.7626712328767123
2016-08-08T23:00:00Z,LT,1996,956,942.92379,0,0,0,942.92379,2080,1947,0.7625570776255708
2016-01-30T22:00:00Z,LT,2008,1157,915.45914,0,6.91709133374259e-7,6.91709133374259e-7,915.4591393082909,2080,1904,0.7625570776255708
2016-03-21T05:00:00Z,LT,1996,998,943.028,612.1906193635859,0,-612.1906193635859,1555.218619363586,2081,8076,0.7624429223744292
2016-08-28T20:00:00Z,LT,2008,1171,915.57362,0,0.9854393212774548,0.9854393212774548,914.5881806787226,2081,1899,0.7624429223744292
2016-11-13T23:00:00Z,LT,1996,1032,943.18459,598.2650828755959,0,-598.2650828755959,1541.4496728755958,2082,7857,0.7623287671232877
2016-04-15T00:00:00Z,LT,2008,951,915.69067,0,0,0,915.69067,2082,1906,0.7623287671232877
2016-08-08T15:00:00Z,LT,1996,1030,943.2524249819209,0,0,0,943.2524249819209,2083,1948,0.7622146118721461
2016-08-16T21:00:00Z,LT,2008,979,915.8331000000001,0,47.203294549985344,47.203294549985344,868.6298054500147,2083,1519,0.7622146118721461
2016-05-16T21:00:00Z,LT,1996,969,943.40239,0,0,0,943.40239,2084,1949,0.7621004566210046
2016-01-01T05:00:00Z,LT,2008,981,915.86327000000006,0,0,0,915.86327000000006,2084,1907,0.7621004566210046
2016-08-01T05:00:00Z,LT,1996,952,943.5329503300167,0,0,0,943.5329503300167,2085,1950,0.761986301369863
2016-08-10T04:00:00Z,LT,2008,1028,915.9182,0,0,0,915.9182,2085,1908,0.761986301369863
2016-02-22T04:00:00Z,LT,1996,966,943.5531,647.1599153166611,0,-647.1599153166611,1590.713015316661,2086,8334,0.7618721461187214
2016-04-07T22:00:00Z,LT,2008,976,915.94818,0,0,0,915.94818,2086,1909,0.7618721461187214
2016-08-22T21:00:00Z,LT,1996,966,943.57855,0,0,0,943.57855,2087,1951,0.7617579908675799
2016-06-19T03:00:00Z,LT,2008,938,915.95012,0,0,0,915.95012,2087,1910,0.7617579908675799
2016-09-28T21:00:00Z,LT,1996,1059,943.59952,0,0,0,943.59952,2088,1952,0.7616438356164383
2016-07-25T05:00:00Z,LT,2008,964,915.9586997582588,0,0,0,915.9586997582588,2088,1911,0.7616438356164383
2016-12-25T14:00:00Z,LT,1996,1157,943.6572844187208,0,0,0,943.6572844187208,2089,1953,0.7615296803652968
2016-04-26T00:00:00Z,LT,2008,916,916,0,0,0,916,2089,1912,0.7615296803652968
2016-09-21T02:00:00Z,LT,1996,951,943.85364,566.582208552461,0,-566.582208552461,1510.435848552461,2090,7613,0.7614155251141552
2016-03-08T01:00:00Z,LT,2008,922,916.01925,0,0,0,916.01925,2090,1913,0.7614155251141552
2016-01-04T01:00:00Z,LT,1996,950,943.91745,717.711796815911,0,-717.711796815911,1661.629246815911,2091,8563,0.7613013698630137
2016-08-27T04:00:00Z,LT,2008,1047,916.05466,0,0,0,916.05466,2091,1914,0.7613013698630137
2016-07-14T19:00:00Z,LT,1996,1208,944.0248931653846,0,0,0,944.0248931653846,2092,1954,0.7611872146118721
2016-12-26T01:00:00Z,LT,2008,927,916.19902,0,0,0,916.19902,2092,1915,0.7611872146118721
2016-04-14T22:00:00Z,LT,1996,1024,944.27533,0,0,0,944.27533,2093,1956,0.7610730593607306
2016-07-03T03:00:00Z,LT,2008,920,916.20795,683.9446499999999,0,-683.9446499999999,1600.1526,2093,8602,0.7610730593607306
2016-09-15T03:00:00Z,LT,1996,1024,944.35168,0,0,0,944.35168,2094,1957,0.760958904109589
2016-01-25T12:00:00Z,LT,2008,1324,916.2584581402159,0,0,0,916.2584581402159,2094,1916,0.760958904109589
2016-09-07T05:00:00Z,LT,1996,1249,944.5925500000001,565.843298552461,0,-565.843298552461,1510.435848552461,2095,7601,0.7608447488584476
2016-01-11T22:00:00Z,LT,2008,1126,916.28691,0,0,0,916.28691,2095,1917,0.7608447488584476
2016-11-01T13:00:00Z,LT,1996,1190,944.7792046209689,0,0,0,944.7792046209689,2096,1959,0.7607305936073059
2016-07-07T23:00:00Z,LT,2008,936,916.3017,0,0,0,916.3017,2096,1918,0.7607305936073059
2016-02-25T00:00:00Z,LT,1996,1025,944.85286,686.04335850075,0,-686.04335850075,1630.89621850075,2097,8470,0.7606164383561644
2016-02-11T01:00:00Z,LT,2008,1010,916.31346,674.300002289541,0,-674.300002289541,1590.613462289541,2097,8503,0.7606164383561644
2016-08-15T07:00:00Z,LT,1996,1120,944.961356941712,0,0,0,944.961356941712,2098,1960,0.7605022831050228
2016-11-08T23:00:00Z,LT,2008,1058,916.4471,0,0,0,916.4471,2098,1920,0.7605022831050228
2016-03-04T01:00:00Z,LT,1996,975,944.97409,0,0,0,944.97409,2099,1961,0.7603881278538813
2016-11-28T06:00:00Z,LT,2008,1189,916.47631,389.73867557850235,0,-389.73867557850235,1306.2149855785024,2099,6451,0.7603881278538813
2016-07-07T04:00:00Z,LT,1996,985,945.0733422316703,666.2236686627989,0,-666.2236686627989,1611.2970108944692,2100,8423,0.7602739726027398
2016-12-30T02:00:00Z,LT,2008,1001,916.54672,630.4872659400261,0,-630.4872659400261,1547.033985940026,2100,8185,0.7602739726027398
2016-10-26T00:00:00Z,LT,1996,956,945.12776,583.6615848724359,0,-583.6615848724359,1528.7893448724358,2101,7798,0.7601598173515982
2016-09-13T06:00:00Z,LT,2008,1100,916.6270431105779,0,0,0,916.6270431105779,2101,1922,0.7601598173515982
2016-07-10T06:00:00Z,LT,1996,1295,945.1438558126322,0,0,0,945.1438558126322,2102,1963,0.7600456621004567
2016-11-15T12:00:00Z,LT,2008,1306,916.7224342998024,0,0,0,916.7224342998024,2102,1924,0.7600456621004567
2016-01-29T01:00:00Z,LT,1996,1027,945.16807,743.1110000000001,0,-743.1110000000001,1688.27907,2103,8628,0.7599315068493151
2016-10-25T05:00:00Z,LT,2008,1002,916.7934,0,0,0,916.7934,2103,1925,0.7599315068493151
2016-05-07T01:00:00Z,LT,1996,977,945.28421,396.64451709169373,0,-396.64451709169373,1341.9287270916939,2104,6635,0.7598173515981735
2016-01-24T05:00:00Z,LT,2008,1107,917.13282,0,0,0,917.13282,2104,1926,0.7598173515981735
2016-10-19T22:00:00Z,LT,1996,961,945.40424,0,0,0,945.40424,2105,1964,0.759703196347032
2016-11-26T03:00:00Z,LT,2008,1024,917.16599,0,0,0,917.16599,2105,1927,0.759703196347032
2016-04-30T22:00:00Z,LT,1996,949,945.437,0,0.38800765652369584,0.38800765652369584,945.0489923434764,2106,1962,0.7595890410958904
