Scenario,Week,Region,Level,id
Baseline,38,WAPP,9886004.96,1985
Baseline,39,WAPP,9989122.598,1985
Baseline,40,WAPP,10072024.15,1985
Baseline,41,WAPP,10143865.24,1985
Baseline,42,WAPP,10201802.84,1985
Baseline,43,WAPP,10223850.31,1985
Baseline,44,WAPP,10230716,1985
Baseline,45,WAPP,10230961.54,1985
Baseline,46,WAPP,10203440.02,1985
Baseline,47,WAPP,10143645.16,1985
Baseline,48,WAPP,10073149.86,1985
Baseline,49,WAPP,9997885.039,1985
Baseline,50,WAPP,9902289.94,1985
Baseline,51,WAPP,9794487.316,1985
Baseline,52,WAPP,9742109.497,1985
Baseline,0,CAPP,228141.6241,1986
Baseline,1,CAPP,225748.4042,1986
Baseline,2,CAPP,216732.5428,1986
Baseline,3,CAPP,183878.2333,1986
Baseline,4,CAPP,157533.5816,1986
Baseline,5,CAPP,177181.3018,1986
Baseline,6,CAPP,204206.7685,1986
Baseline,7,CAPP,248451.4058,1986
Baseline,8,CAPP,283100.9089,1986
Baseline,9,CAPP,328483.6763,1986
Baseline,10,CAPP,379078.0275,1986
Baseline,11,CAPP,421039.9618,1986
Baseline,12,CAPP,428826.2068,1986
Baseline,13,CAPP,417169.0808,1986
Baseline,14,CAPP,429066.8619,1986
Baseline,15,CAPP,435355.0502,1986
Baseline,16,CAPP,416353.1624,1986
Baseline,17,CAPP,392557.0873,1986
Baseline,18,CAPP,407950.3471,1986
Baseline,19,CAPP,399212.5216,1986
Baseline,20,CAPP,379517.4049,1986
Baseline,21,CAPP,352248.5051,1986
Baseline,22,CAPP,339788.2172,1986
Baseline,23,CAPP,403293.1869,1986
Baseline,24,CAPP,449229.9158,1986
Baseline,25,CAPP,465818.2394,1986
Baseline,26,CAPP,464972.4838,1986
Baseline,27,CAPP,464383.8348,1986
Baseline,28,CAPP,459633.7234,1986
Baseline,29,CAPP,451289.2719,1986
Baseline,30,CAPP,438254.286,1986
Baseline,31,CAPP,423266.3333,1986
Baseline,32,CAPP,406319.7039,1986
Baseline,33,CAPP,384080.9735,1986
Baseline,34,CAPP,359558.4432,1986
Baseline,35,CAPP,344121.5532,1986
Baseline,36,CAPP,324238.7571,1986
Baseline,37,CAPP,307768.1222,1986
Baseline,38,CAPP,287542.0712,1986
Baseline,39,CAPP,266025.7711,1986
Baseline,40,CAPP,259528.6072,1986
Baseline,41,CAPP,271519.7329,1986
Baseline,42,CAPP,284407.091,1986
Baseline,43,CAPP,288279.7734,1986
Baseline,44,CAPP,293817.7454,1986
Baseline,45,CAPP,291837.117,1986
Baseline,46,CAPP,289045.4987,1986
Baseline,47,CAPP,292395.296,1986
Baseline,48,CAPP,283533.0273,1986
Baseline,49,CAPP,277718.9118,1986
Baseline,50,CAPP,268359.335,1986
Baseline,51,CAPP,255264.3885,1986
Baseline,52,CAPP,250871.3005,1986
Baseline,0,EAPP,14077841.09,1986
Baseline,1,EAPP,14246294.16,1986
Baseline,2,EAPP,14328178.76,1986
Baseline,3,EAPP,14346028.06,1986
Baseline,4,EAPP,14338219.07,1986
Baseline,5,EAPP,14359505.26,1986
Baseline,6,EAPP,14677240.14,1986
Baseline,7,EAPP,15058696.39,1986
Baseline,8,EAPP,15248635.77,1986
Baseline,9,EAPP,15388762.59,1986
Baseline,10,EAPP,15631478.96,1986
Baseline,11,EAPP,15822790.93,1986
Baseline,12,EAPP,15906815.52,1986
Baseline,13,EAPP,16036495.72,1986
Baseline,14,EAPP,16216579.28,1986
Baseline,15,EAPP,16340938.27,1986
Baseline,16,EAPP,16429030.24,1986
Baseline,17,EAPP,16577373.8,1986
Baseline,18,EAPP,16713193.44,1986
Baseline,19,EAPP,16714104.73,1986
Baseline,20,EAPP,16592076.31,1986
Baseline,21,EAPP,16412163.91,1986
Baseline,22,EAPP,16181387.27,1986
Baseline,23,EAPP,15938853.95,1986
Baseline,24,EAPP,15655786.66,1986
Baseline,25,EAPP,15386203.7,1986
Baseline,26,EAPP,15102272.55,1986
Baseline,27,EAPP,14818699.74,1986
Baseline,28,EAPP,14549209.85,1986
Baseline,29,EAPP,14271175.28,1986
Baseline,30,EAPP,13992278.45,1986
Baseline,31,EAPP,13696951.56,1986
Baseline,32,EAPP,13415891.41,1986
Baseline,33,EAPP,13149110.99,1986
Baseline,34,EAPP,12890098.44,1986
Baseline,35,EAPP,12648058.83,1986
Baseline,36,EAPP,12437551.6,1986
Baseline,37,EAPP,12238900.28,1986
Baseline,38,EAPP,12059947.97,1986
Baseline,39,EAPP,11915199.27,1986
Baseline,40,EAPP,11943634.17,1986
Baseline,41,EAPP,12194592.69,1986
Baseline,42,EAPP,12281674.47,1986
Baseline,43,EAPP,12384294.62,1986
Baseline,44,EAPP,12624628.23,1986
Baseline,45,EAPP,12846058.73,1986
Baseline,46,EAPP,12931292.89,1986
Baseline,47,EAPP,12968797.21,1986
Baseline,48,EAPP,13101010.71,1986
Baseline,49,EAPP,13324455.54,1986
Baseline,50,EAPP,13580860.96,1986
