Time	DAM_STORAGE	LNG_STO	PHES	BATT_LI	BEV_BATT	PHEV_BATT	NEWSOLAR_STORAGE	DAM_STORAGE_in	DAM_STORAGE_out	LNG_STO_in	LNG_STO_out	PHES_in	PHES_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	NEWSOLAR_STORAGE_in	NEWSOLAR_STORAGE_out	
 51	4684.573552	0.000000	163.867295	0.000000	0.954551	0.048509	0.000000	-0.191891	3.101678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002338	0.000000	0.000330	0.000000	0.000000	
 52	4681.536659	0.000000	163.867295	0.000000	0.926303	0.044544	0.000000	-0.191087	3.227980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028057	0.000000	0.003955	0.000000	0.000000	
 53	4677.987973	0.000000	163.867295	0.000000	0.851300	0.041539	0.000000	-0.190289	3.738975	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.074818	-0.007553	0.010548	0.000000	0.000000	
 54	4673.544760	0.000000	163.867295	0.000000	0.790306	0.041531	0.000000	-0.189485	4.632698	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.126222	0.187045	-0.026370	0.026370	0.000000	0.000000	
 55	4668.196840	0.000000	163.867295	0.000000	0.790148	0.041523	0.000000	-0.188681	5.536601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.362400	0.362400	-0.051091	0.051091	0.000000	0.000000	
 56	4663.606277	0.000000	163.867295	0.000000	0.789990	0.041514	0.000000	-0.187883	4.778446	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.315638	0.315638	-0.044499	0.044499	0.000000	0.000000	
 57	4659.272271	0.000000	163.867295	0.000000	0.789832	0.041506	0.000000	-0.187079	4.521085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.292258	0.292258	-0.041203	0.041203	0.000000	0.000000	
 58	4654.876496	0.000000	163.867295	0.000000	0.789674	0.041498	0.000000	-0.186275	4.582050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327330	0.327330	-0.046147	0.046147	0.000000	0.000000	
 59	4650.396462	0.000000	163.867295	0.000000	0.789516	0.041490	0.000000	-0.185477	4.665511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 60	4645.787592	0.000000	163.867295	0.000000	0.789358	0.041481	0.000000	-0.184673	4.793542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.411500	0.411500	-0.058014	0.058014	0.000000	0.000000	
 61	4641.261789	0.000000	163.867295	0.000000	0.789200	0.041473	0.000000	-0.183875	4.709678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 62	4636.874718	0.000000	163.867295	0.000000	0.789042	0.041465	0.000000	-0.183071	4.570142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.378766	0.378766	-0.053399	0.053399	0.000000	0.000000	
 63	4632.068415	0.000000	163.867295	0.000000	0.788885	0.041456	0.000000	-0.182267	4.988570	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.425528	0.425528	-0.059991	0.059991	0.000000	0.000000	
 64	4627.135264	0.000000	163.867295	0.000000	0.788727	0.041448	0.000000	-0.181469	5.114621	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444233	0.444233	-0.062628	0.062628	0.000000	0.000000	
 65	4622.156500	0.000000	163.867295	0.000000	0.788569	0.041440	0.000000	-0.180665	5.159429	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444233	0.444233	-0.062628	0.062628	0.000000	0.000000	
 66	4618.030033	0.000000	163.867295	0.000000	0.788411	0.041432	0.000000	-0.179854	4.306321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327330	0.327330	-0.046147	0.046147	0.000000	0.000000	
 67	4614.649268	0.000000	163.867295	0.000000	0.788254	0.041423	0.000000	-0.179056	3.559821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.233807	0.233807	-0.032962	0.032962	0.000000	0.000000	
 68	4611.706631	0.000000	163.867295	0.000000	0.788096	0.041415	0.000000	-0.178252	3.120890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.175355	0.175355	-0.024722	0.024722	0.000000	0.000000	
 69	4609.182060	0.000000	163.867295	0.000000	0.787938	0.041407	0.000000	-0.177455	2.702025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.116903	0.116903	-0.016481	0.016481	0.000000	0.000000	
 70	4606.608468	0.000000	163.867295	0.000000	0.787781	0.041398	0.000000	-0.176650	2.750243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074818	0.074818	-0.010548	0.010548	0.000000	0.000000	
 71	4603.899944	0.000000	163.867295	0.000000	0.787623	0.041390	0.000000	-0.175846	2.884369	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.046761	0.046761	-0.006592	0.006592	0.000000	0.000000	
