,PHOT,WTOF,WTON,BEVS,HROR
1/9/2016 3:00,0,0,0.064454,0.795280273,0.119412468
1/9/2016 4:00,0,0,0.065087,0.727649506,0.119478531
1/9/2016 5:00,0,0,0.08889,0.645520011,0.119544593
1/9/2016 6:00,0,0,0.111135,0.545413215,0.119610656
1/9/2016 7:00,0,0,0.129837,0.478618642,0.119676718
1/9/2016 8:00,0.02,0,0.134646,0.459866183,0.119742781
1/9/2016 9:00,0.045,0,0.135988,0.459974581,0.119808844
1/9/2016 10:00,0.051,0,0.183971,0.438097641,0.119874906
1/9/2016 11:00,0.044,0,0.196211,0.427365683,0.119940969
1/9/2016 12:00,0.029,0,0.176794,0.425088034,0.120007031
1/9/2016 13:00,0.016,0,0.156831,0.42295985,0.120073094
1/9/2016 14:00,0.005,0,0.18349,0.426919921,0.120139156
1/9/2016 15:00,0,0,0.226112,0.441821489,0.120205219
1/9/2016 16:00,0,0,0.272792,0.467437135,0.120271281
1/9/2016 17:00,0,0,0.309096,0.518758735,0.120337344
1/9/2016 18:00,0,0,0.37057,0.586639513,0.120403406
1/9/2016 19:00,0,0,0.465926,0.607094554,0.120469469
1/9/2016 20:00,0,0,0.520018,0.654753398,0.120535532
1/9/2016 21:00,0,0,0.555969,0.675640705,0.120601594
1/9/2016 22:00,0,0,0.520473,0.718198957,0.120667657
1/9/2016 23:00,0,0,0.495369,0.732872809,0.120733719
1/10/2016 0:00,0,0,0.549895,0.762120129,0.120799782
1/10/2016 1:00,0,0,0.60573,0.788124008,0.12087933
1/10/2016 2:00,0,0,0.59528,0.788298565,0.120958878
1/10/2016 3:00,0,0,0.574959,0.780581393,0.121038427
1/10/2016 4:00,0,0,0.578437,0.763736937,0.121117975
1/10/2016 5:00,0,0,0.653742,0.737192827,0.121197523
1/10/2016 6:00,0,0,0.690155,0.705034407,0.121277071
1/10/2016 7:00,0,0,0.686252,0.64949488,0.12135662
1/10/2016 8:00,0.013,0,0.646484,0.593970277,0.121436168
1/10/2016 9:00,0.045,0,0.625771,0.561473654,0.121515716
1/10/2016 10:00,0.09,0,0.585876,0.536750442,0.121595264
1/10/2016 11:00,0.139,0,0.563409,0.49108652,0.121674813
1/10/2016 12:00,0.152,0,0.550845,0.466979461,0.121754361
1/10/2016 13:00,0.068,0,0.407319,0.480063173,0.121833909
1/10/2016 14:00,0.018,0,0.346961,0.48004263,0.121913458
1/10/2016 15:00,0,0,0.374265,0.484292137,0.121993006
1/10/2016 16:00,0,0,0.381095,0.536501356,0.122072554
1/10/2016 17:00,0,0,0.372662,0.600960531,0.122152102
1/10/2016 18:00,0,0,0.41549,0.63365136,0.122231651
1/10/2016 19:00,0,0,0.506487,0.670873806,0.122311199
1/10/2016 20:00,0,0,0.457591,0.66544915,0.122390747
1/10/2016 21:00,0,0,0.416761,0.670229752,0.122470295
1/10/2016 22:00,0,0,0.321229,0.661486066,0.122549844
1/10/2016 23:00,0,0,0.282282,0.65174919,0.122629392
1/11/2016 0:00,0,0,0.241989,0.663732439,0.12270894
1/11/2016 1:00,0,0,0.224905,0.659628851,0.12278176
1/11/2016 2:00,0,0,0.254375,0.65295146,0.12285458
1/11/2016 3:00,0,0,0.226963,0.662186468,0.1229274
1/11/2016 4:00,0,0,0.19409,0.666512837,0.12300022
1/11/2016 5:00,0,0,0.237116,0.651400521,0.12307304
1/11/2016 6:00,0,0,0.32527,0.629671511,0.12314586
1/11/2016 7:00,0,0,0.386404,0.600524052,0.12321868
1/11/2016 8:00,0.009,0,0.328634,0.572913279,0.1232915
1/11/2016 9:00,0.023,0,0.25395,0.551781924,0.12336432
1/11/2016 10:00,0.02,0,0.279236,0.54207523,0.12343714
1/11/2016 11:00,0.015,0,0.356064,0.53559528,0.12350996
1/11/2016 12:00,0.014,0,0.441514,0.489486043,0.123582779
1/11/2016 13:00,0.009,0,0.479831,0.503310647,0.123655599
