	BE_LT	BE_HT
2169	23806,34179	7456,76054
2170	20987,5046	7456,76054
2171	18344,84473	7456,76054
2172	17111,60346	7456,76054
2173	16230,71684	7456,76054
2174	15526,00754	7456,76054
2175	16054,53951	7456,76054
2176	16935,42614	7456,76054
2177	18168,66741	7456,76054
2178	19930,44065	7456,76054
2179	21868,39122	7456,76054
2180	23453,98714	7456,76054
2181	24863,40574	7456,76054
2182	26272,82433	7456,76054
2183	27682,24293	7456,76054
2184	29267,83885	7456,76054
2185	29444,01617	7456,76054
2186	29620,1935	7456,76054
2187	29972,54814	7456,76054
2188	30148,72547	7456,76054
2189	30148,72547	7456,76054
2190	30324,90279	7456,76054
2191	30148,72547	7456,76054
2192	26977,53363	7456,76054
2193	24511,05109	7456,76054
2194	20106,61798	7456,76054
2195	16054,53951	7456,76054
2196	12883,34767	7456,76054
2197	11473,92908	7456,76054
2198	10945,3971	7456,76054
2199	10769,21978	7456,76054
2200	10593,04246	7456,76054
2201	11121,57443	7456,76054
2202	12707,17035	7456,76054
2203	14821,29824	7456,76054
2204	16759,24881	7456,76054
2205	18521,02206	7456,76054
2206	20282,7953	7456,76054
2207	22044,56854	7456,76054
2208	23982,51911	7456,76054
2209	25744,29236	7456,76054
2210	27506,0656	7456,76054
2211	29444,01617	7456,76054
2212	30501,08012	7456,76054
2213	31381,96674	7456,76054
2214	32086,67604	7456,76054
2215	32086,67604	7456,76054
2216	31910,49871	7456,76054
2217	31381,96674	7456,76054
2218	29972,54814	7456,76054
2219	27329,88828	7456,76054
2220	23453,98714	7456,76054
2221	20987,5046	7456,76054
2222	19049,55403	7456,76054
2223	18168,66741	7456,76054
2224	18344,84473	7456,76054
2225	18697,19938	7456,76054
2226	20106,61798	7456,76054
2227	22044,56854	7456,76054
2228	22925,45517	7456,76054
2229	23806,34179	7456,76054
2230	24511,05109	7456,76054
2231	25391,93771	7456,76054
2232	26272,82433	7456,76054
2233	26625,17898	7456,76054
2234	26977,53363	7456,76054
2235	27329,88828	7456,76054
2236	27506,0656	7456,76054
2237	27682,24293	7456,76054
2238	27682,24293	7456,76054
2239	26449,00166	7456,76054
2240	23806,34179	7456,76054
2241	20635,14995	7456,76054
2242	17111,60346	7456,76054
2243	13764,2343	7456,76054
2244	10945,3971	7456,76054
2245	8655,091887	7456,76054
2246	6540,963994	7456,76054
2247	5131,545398	7456,76054
2248	4603,013425	7456,76054
2249	5307,722722	7456,76054
2250	6893,318642	7456,76054
2251	9535,978509	7456,76054
2252	10240,68781	7456,76054
2253	11121,57443	7456,76054
2254	11826,28373	7456,76054
2255	12530,99302	7456,76054
2256	13411,87965	7456,76054
2257	13764,2343	7456,76054
2258	14116,58894	7456,76054
2259	14292,76627	7456,76054
2260	14468,94359	7456,76054
2261	14645,12092	7456,76054
2262	14645,12092	7456,76054
2263	13940,41162	7456,76054
2264	13764,2343	7456,76054
2265	12883,34767	7456,76054
2266	10945,3971	7456,76054
2267	8655,091887	7456,76054
2268	5483,900047	7456,76054
2269	3017,417505	7456,76054
2270	3017,417505	7456,76054
2271	3017,417505	7456,76054
2272	3017,417505	7456,76054
2273	3017,417505	7456,76054
2274	3017,417505	7456,76054
2275	3017,417505	7456,76054
2276	3017,417505	7456,76054
2277	3545,949478	7456,76054
2278	5307,722722	7456,76054
2279	7069,495967	7456,76054
2280	8831,269211	7456,76054
2281	10945,3971	7456,76054
2282	13059,525	7456,76054
2283	14292,76627	7456,76054
2284	15526,00754	7456,76054
2285	16406,89416	7456,76054
2286	16583,07149	7456,76054
2287	15349,83022	7456,76054
2288	12707,17035	7456,76054
2289	9535,978509	7456,76054
2290	6188,609345	7456,76054
2291	4426,8361	7456,76054
2292	3017,417505	7456,76054
2293	3017,417505	7456,76054
2294	3017,417505	7456,76054
2295	3017,417505	7456,76054
2296	3017,417505	7456,76054
2297	3369,772154	7456,76054
2298	5131,545398	7456,76054
2299	7069,495967	7456,76054
2300	8655,091887	7456,76054
2301	10240,68781	7456,76054
2302	11826,28373	7456,76054
2303	13235,70232	7456,76054
2304	14821,29824	7456,76054
2305	15526,00754	7456,76054
2306	16230,71684	7456,76054
2307	16759,24881	7456,76054
2308	17111,60346	7456,76054
2309	17463,95811	7456,76054
2310	17463,95811	7456,76054
2311	15702,18486	7456,76054
2312	12530,99302	7456,76054
2313	8831,269211	7456,76054
2314	4955,368074	7456,76054
2315	3017,417505	7456,76054
2316	3017,417505	7456,76054
2317	3017,417505	7456,76054
2318	3017,417505	7456,76054
2319	3017,417505	7456,76054
2320	3017,417505	7456,76054
2321	3017,417505	7456,76054
2322	3017,417505	7456,76054
2323	3017,417505	7456,76054
2324	3017,417505	7456,76054
2325	3017,417505	7456,76054
2326	3017,417505	7456,76054
2327	4074,481451	7456,76054
2328	5307,722722	7456,76054
2329	6012,43202	7456,76054
2330	6893,318642	7456,76054
2331	7421,850616	7456,76054
2332	7774,205265	7456,76054
2333	8126,559913	7456,76054
2334	8126,559913	7456,76054
2335	7774,205265	7456,76054
2336	7245,673291	7456,76054
2337	6540,963994	7456,76054
2338	6188,609345	7456,76054
2339	5307,722722	7456,76054
2340	4779,190749	7456,76054
2341	4426,8361	7456,76054
2342	4074,481451	7456,76054
2343	3898,304127	7456,76054
2344	3898,304127	7456,76054
2345	3898,304127	7456,76054
2346	4250,658776	7456,76054
2347	4779,190749	7456,76054
2348	6364,786669	7456,76054
2349	6364,786669	7456,76054
2350	6893,318642	7456,76054
2351	7598,02794	7456,76054
2352	8655,091887	7456,76054
2353	8655,091887	7456,76054
2354	10769,21978	7456,76054
2355	9535,978509	7456,76054
2356	9712,155833	7456,76054
2357	9888,333158	7456,76054
2358	9888,333158	7456,76054
2359	9712,155833	7456,76054
2360	9183,62386	7456,76054
2361	8655,091887	7456,76054
2362	8302,737238	7456,76054
2363	7950,382589	7456,76054
2364	7421,850616	7456,76054
2365	7069,495967	7456,76054
2366	6893,318642	7456,76054
2367	6893,318642	7456,76054
2368	6893,318642	7456,76054
2369	7069,495967	7456,76054
2370	7421,850616	7456,76054
2371	7950,382589	7456,76054
2372	8302,737238	7456,76054
2373	8655,091887	7456,76054
2374	9007,446536	7456,76054
2375	8655,091887	7456,76054
2376	8302,737238	7456,76054
2377	8126,559913	7456,76054
2378	7774,205265	7456,76054
2379	7774,205265	7456,76054
2380	7421,850616	7456,76054
2381	7421,850616	7456,76054
2382	7245,673291	7456,76054
2383	6717,141318	7456,76054
2384	5836,254696	7456,76054
2385	4603,013425	7456,76054
2386	3193,594829	7456,76054
2387	3017,417505	7456,76054
2388	3017,417505	7456,76054
2389	3017,417505	7456,76054
2390	3017,417505	7456,76054
2391	3017,417505	7456,76054
2392	3017,417505	7456,76054
2393	3017,417505	7456,76054
2394	3017,417505	7456,76054
2395	3017,417505	7456,76054
2396	3017,417505	7456,76054
2397	3017,417505	7456,76054
2398	3545,949478	7456,76054
2399	4426,8361	7456,76054
2400	5660,077371	7456,76054
2401	6012,43202	7456,76054
2402	6893,318642	7456,76054
2403	7421,850616	7456,76054
2404	7774,205265	7456,76054
2405	7950,382589	7456,76054
2406	7950,382589	7456,76054
2407	7774,205265	7456,76054
2408	7421,850616	7456,76054
2409	5307,722722	7456,76054
2410	3017,417505	7456,76054
2411	3017,417505	7456,76054
2412	3017,417505	7456,76054
2413	3017,417505	7456,76054
2414	3017,417505	7456,76054
2415	3017,417505	7456,76054
2416	3017,417505	7456,76054
2417	3017,417505	7456,76054
2418	3017,417505	7456,76054
2419	3017,417505	7456,76054
2420	3017,417505	7456,76054
2421	3017,417505	7456,76054
2422	4250,658776	7456,76054
2423	5836,254696	7456,76054
2424	7598,02794	7456,76054
2425	9888,333158	7456,76054
2426	12178,63838	7456,76054
2427	13411,87965	7456,76054
2428	14468,94359	7456,76054
2429	15349,83022	7456,76054
2430	15349,83022	7456,76054
2431	14468,94359	7456,76054
2432	13940,41162	7456,76054
2433	10593,04246	7456,76054
2434	11297,75175	7456,76054
2435	10593,04246	7456,76054
2436	10064,51048	7456,76054
2437	6893,318642	7456,76054
2438	4250,658776	7456,76054
2439	3369,772154	7456,76054
2440	3017,417505	7456,76054
2441	3898,304127	7456,76054
2442	5131,545398	7456,76054
2443	6717,141318	7456,76054
2444	8126,559913	7456,76054
2445	9359,801185	7456,76054
2446	10593,04246	7456,76054
2447	11826,28373	7456,76054
2448	12883,34767	7456,76054
2449	13588,05697	7456,76054
2450	14468,94359	7456,76054
2451	14821,29824	7456,76054
2452	15349,83022	7456,76054
2453	16054,53951	7456,76054
2454	15526,00754	7456,76054
2455	14821,29824	7456,76054
2456	13940,41162	7456,76054
2457	12530,99302	7456,76054
2458	11297,75175	7456,76054
2459	10593,04246	7456,76054
2460	9888,333158	7456,76054
2461	9359,801185	7456,76054
2462	9183,62386	7456,76054
2463	9007,446536	7456,76054
2464	8831,269211	7456,76054
2465	9183,62386	7456,76054
2466	9712,155833	7456,76054
2467	10593,04246	7456,76054
