	BE
1364	11438.24
1365	11180.46
1366	10944.71
1367	10994.20
1368	10950.56
1369	10580.75
1370	10362.55
1371	10219.48
1372	10148.85
1373	10214.09
1374	10395.39
1375	10919.07
1376	11234.44
1377	11226.79
1378	11331.17
1379	11397.75
1380	11497.63
1381	11431.95
1382	11471.99
1383	11461.19
1384	11407.20
1385	11311.37
1386	11332.52
1387	11540.37
1388	11561.96
1389	11251.54
1390	10999.60
1391	11069.33
1392	11001.40
1393	10672.98
1394	10429.58
1395	10269.87
1396	10186.64
1397	10232.53
1398	10410.24
1399	10938.41
1400	11224.99
1401	11243.44
1402	11334.32
1403	11331.17
1404	11398.65
1405	11350.06
1406	11354.11
1407	11297.43
1408	11256.94
1409	11175.06
1410	11238.94
1411	11396.85
1412	11332.52
1413	11065.73
1414	10825.94
1415	10991.50
1416	10944.26
1417	10661.28
1418	10381.45
1419	10174.94
1420	10066.07
1421	10029.18
1422	10019.28
1423	10154.70
1424	10230.73
1425	10443.53
1426	10688.27
1427	10844.39
1428	10902.42
1429	10856.53
1430	10820.99
1431	10745.86
1432	10704.92
1433	10636.08
1434	10716.62
1435	10915.47
1436	10935.71
1437	10716.62
1438	10513.26
1439	10587.50
1440	10621.69
1441	10389.54
1442	10149.75
1443	9995.89
1444	9889.71
1445	9857.77
1446	9872.62
1447	9954.50
1448	9922.55
1449	10057.52
1450	10280.22
1451	10396.29
1452	10496.62
1453	10493.47
1454	10321.61
1455	10164.60
1456	10100.71
1457	10094.86
1458	10214.54
1459	10609.99
1460	10807.94
1461	10711.22
1462	10520.91
1463	10590.20
1464	10580.30
1465	10327.01
1466	10108.36
1467	9950.45
1468	9874.42
1469	9897.81
1470	10174.04
1471	10646.88
1472	10904.22
1473	11160.66
1474	11328.02
1475	11368.51
1476	11452.19
1477	11324.87
1478	11307.32
1479	11207.90
1480	11141.76
1481	11049.09
1482	11132.77
1483	11371.21
1484	11417.55
1485	11126.47
1486	10848.88
1487	10943.36
1488	10917.27
1489	10643.28
1490	10399.89
1491	10219.03
1492	10167.30
1493	10236.13
1494	10439.48
1495	10847.53
1496	11026.14
1497	11220.05
1498	11346.92
1499	11359.51
1500	11410.80
1501	11264.14
1502	11233.54
1503	11177.76
1504	11167.86
1505	11113.87
1506	11139.07
1507	11319.92
1508	11407.65
1509	11148.06
1510	10895.22
1511	10999.60
1512	10955.96
1513	10677.47
1514	10451.63
1515	10277.07
1516	10180.79
1517	10237.93
1518	10415.64
1519	10844.39
1520	11067.08
1521	11210.60
1522	11302.38
1523	11282.13
1524	11367.61
1525	11292.93
1526	11195.75
1527	11188.55
1528	11149.86
1529	11017.59
1530	10982.95
1531	11159.31
1532	11368.51
1533	11159.76
1534	10921.77
1535	11010.40
1536	10942.46
1537	10659.48
