,[10] - BE_BATT_LI,[8] - BE_DEC_HP_ELEC,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[5] - BE_IND_COGEN_GAS,[9] - BE_PHS
2015-05-21 05:00:00,0.0,5211.746871713137,3418.2092831607897,283.85471234879475,7172.905827651206,0.0
2015-05-21 06:00:00,0.0,0.0,1204.1309427796639,283.85471234879475,7172.905827651206,0.0
2015-05-21 07:00:00,0.0,614.4637652109803,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 08:00:00,0.0,1787.7555795959745,2459.3269557044123,283.85471234879475,7172.905827651206,0.0
2015-05-21 09:00:00,0.0,1787.7555795959745,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 10:00:00,0.0,1787.7555795959745,3688.9950909090007,283.85471234879475,7172.905827651206,0.0
2015-05-21 11:00:00,0.0,3576.124955274277,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 12:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 13:00:00,13386.2475,3576.124955274277,8607.698680926167,283.85471234879475,7172.905827651206,0.0
2015-05-21 14:00:00,273.47602604511485,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 15:00:00,10581.153595008327,10735.744634629309,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 16:00:00,6590.418211850273,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 17:00:00,3964.7507067088427,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 18:00:00,997.9836917780044,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 19:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 20:00:00,0.0,0.0,2674.7155399877684,283.85471234879475,7172.905827651206,0.0
2015-05-21 21:00:00,0.0,2100.89951216742,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-21 22:00:00,0.0,7447.254805058401,28360.93819554046,283.85471234879475,7172.905827651206,0.0
2015-05-21 23:00:00,0.0,29267.548,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 00:00:00,0.0,3216.5772586190237,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 01:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 02:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 03:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 04:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 05:00:00,0.0,1339.233675572073,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 06:00:00,160.35392430848367,4501.669663264285,5761.9472032093645,283.85471234879475,7172.905827651206,0.0
2015-05-22 07:00:00,3714.0303099230987,13598.181967193403,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 08:00:00,13386.2475,0.0,2593.78618213074,283.85471234879475,7172.905827651206,0.0
2015-05-22 09:00:00,13386.2475,0.0,6713.569025314971,283.85471234879475,7172.905827651206,0.0
2015-05-22 10:00:00,577.8558567115006,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 11:00:00,0.0,3815.663035454953,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 12:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 13:00:00,12412.78133442632,1787.7555795959745,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-22 14:00:00,6206.390667213163,1787.7555795959745,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-22 15:00:00,0.0,29267.548,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-22 16:00:00,0.0,22272.280160584985,9909.179623113854,283.85471234879475,7172.905827651206,0.0
2015-05-22 17:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 18:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 19:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 20:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 21:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 22:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-22 23:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 00:00:00,0.0,0.0,4685.00700065907,283.85471234879475,7172.905827651206,0.0
2015-05-23 01:00:00,0.0,4881.822669413799,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 02:00:00,0.0,0.0,6408.1129560594345,283.85471234879475,7172.905827651206,0.0
2015-05-23 03:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 04:00:00,0.0,0.0,3383.542330912135,283.85471234879475,7172.905827651206,0.0
2015-05-23 05:00:00,0.0,0.0,7850.690032269894,283.85471234879475,7172.905827651206,0.0
2015-05-23 06:00:00,0.0,1049.0252669654437,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 07:00:00,0.0,934.5326299180948,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 08:00:00,0.0,0.0,2238.4669956782327,283.85471234879475,7172.905827651206,0.0
2015-05-23 09:00:00,0.0,0.0,1399.488044308231,283.85471234879475,7172.905827651206,0.0
2015-05-23 10:00:00,0.0,0.0,256.182357478232,283.85471234879475,7172.905827651206,0.0
2015-05-23 11:00:00,0.0,0.0,237.25176744109194,283.85471234879475,7172.905827651206,0.0
2015-05-23 12:00:00,0.0,24.765998937695755,1842.7733872487797,283.85471234879475,7172.905827651206,0.0
2015-05-23 13:00:00,0.0,0.0,616.5520116618027,283.85471234879475,7172.905827651206,0.0
2015-05-23 14:00:00,11227.404493177884,3576.124955274277,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-23 15:00:00,12481.52754808497,0.0,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-23 16:00:00,0.0,1787.7555795959745,1229.6619254040252,283.85471234879475,7172.905827651206,852.4321680940541
2015-05-23 17:00:00,0.0,1787.7555795959745,21127.837777663997,283.85471234879475,7172.905827651206,0.0
2015-05-23 18:00:00,0.0,17245.04127523127,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 19:00:00,0.0,3457.7217305268023,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 20:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 21:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 22:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-23 23:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 00:00:00,0.0,2605.15087509991,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 01:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 02:00:00,0.0,11510.502250713087,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 03:00:00,0.0,0.0,18966.747295481557,283.85471234879475,7172.905827651206,0.0
2015-05-24 04:00:00,0.0,5858.6267053946785,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 05:00:00,0.0,9443.570623510526,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 06:00:00,0.0,2630.090102679463,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 07:00:00,0.0,2322.82012256736,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 08:00:00,0.0,481.5623432576454,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 09:00:00,0.0,1787.7555795959745,553.9816433906999,283.85471234879475,7172.905827651206,0.0
2015-05-24 10:00:00,0.0,1787.7555795959745,1763.6711144771853,283.85471234879475,7172.905827651206,0.0
2015-05-24 11:00:00,646.8955351494201,1787.7555795959745,695.6540847006629,283.85471234879475,7172.905827651206,0.0
2015-05-24 12:00:00,0.0,1940.5336227434962,3688.9950909090007,283.85471234879475,7172.905827651206,0.0
2015-05-24 13:00:00,0.0,3423.399347918614,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 14:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-24 15:00:00,13386.2475,13749.778195842635,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-05-24 16:00:00,13386.2475,24172.935397667767,10956.71654683901,283.85471234879475,7172.905827651206,0.0
2015-05-24 17:00:00,0.0,15566.047279502938,29094.192000000003,283.85471234879475,7172.905827651206,706.4921832019656
2015-05-24 18:00:00,4823.475606008986,0.0,0.0,283.85471234879475,7172.905827651206,0.0
