,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-05-29 17:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 18:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 19:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 20:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 21:00:00,1804.0300333493449,283.85471234879475,7172.905827651206,2622.8060666506553
2015-05-29 22:00:00,2737.3782092189504,283.85471234879475,7172.905827651206,3979.7631087810505
2015-05-29 23:00:00,3742.5223984289,283.85471234879475,7172.905827651206,5441.1014615711
2015-05-30 00:00:00,3957.9104388574547,283.85471234879475,7172.905827651206,5754.2453941425465
2015-05-30 01:00:00,4245.094492626353,283.85471234879475,7172.905827651206,6171.770637373646
2015-05-30 02:00:00,4388.6865201220835,283.85471234879475,7172.905827651206,6380.533259877914
2015-05-30 03:00:00,4460.482531832344,283.85471234879475,7172.905827651206,6484.914568167656
2015-05-30 04:00:00,4388.6865201220835,283.85471234879475,7172.905827651206,6380.533259877914
2015-05-30 05:00:00,3957.9104388574547,283.85471234879475,7172.905827651206,5754.2453941425465
2015-05-30 06:00:00,3455.338344252479,283.85471234879475,7172.905827651206,5023.57621774752
2015-05-30 07:00:00,2665.582195878605,283.85471234879475,7172.905827651206,3875.3817981213933
2015-05-30 08:00:00,2091.2140875257646,283.85471234879475,7172.905827651206,3040.331310474235
2015-05-30 09:00:00,1373.2539524922356,283.85471234879475,7172.905827651206,1996.5182015077646
2015-05-30 10:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 11:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 12:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 13:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 14:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 15:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 16:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 17:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-30 18:00:00,1588.64199292079,283.85471234879475,7172.905827651206,2309.6621340792103
2015-05-30 19:00:00,2163.010100866109,283.85471234879475,7172.905827651206,3144.7126211338896
2015-05-30 20:00:00,2234.806114613975,283.85471234879475,7172.905827651206,3249.093932386025
2015-05-30 21:00:00,2880.97023630716,283.85471234879475,7172.905827651206,4188.52573069284
2015-05-30 22:00:00,3598.93037134069,283.85471234879475,7172.905827651206,5232.338839659311
2015-05-30 23:00:00,4245.094492626353,283.85471234879475,7172.905827651206,6171.770637373646
2015-05-31 00:00:00,4819.462602609278,283.85471234879475,7172.905827651206,7006.82112739072
2015-05-31 01:00:00,5537.422736012723,283.85471234879475,7172.905827651206,8050.634233987275
2015-05-31 02:00:00,5896.402802714446,283.85471234879475,7172.905827651206,8572.540787285554
2015-05-31 03:00:00,6183.586857705909,283.85471234879475,7172.905827651206,8990.066032294091
2015-05-31 04:00:00,6111.79084599565,283.85471234879475,7172.905827651206,8885.68472400435
2015-05-31 05:00:00,4963.054630105011,283.85471234879475,7172.905827651206,7215.583749894989
2015-05-31 06:00:00,3670.726385088555,283.85471234879475,7172.905827651206,5336.720150911444
2015-05-31 07:00:00,2091.2140875257646,283.85471234879475,7172.905827651206,3040.331310474235
2015-05-31 08:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 09:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 10:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 11:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 12:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 13:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 14:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 15:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 16:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 17:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 18:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-31 19:00:00,1373.2539524922356,283.85471234879475,7172.905827651206,1996.5182015077646
2015-05-31 20:00:00,2163.010100866109,283.85471234879475,7172.905827651206,3144.7126211338896
2015-05-31 21:00:00,3096.3582767357148,283.85471234879475,7172.905827651206,4501.669663264285
2015-05-31 22:00:00,4029.70645260532,283.85471234879475,7172.905827651206,5858.6267053946785
