	BE_PV	BE_WIND_ONSHORE	BE_WIND_OFFSHORE	BE_HYDRO_RIVER
171	0	0.707568307	0.92429093	0.355699898
172	0	0.705214207	0.924915754	0.355680811
173	0	0.671241236	0.914672845	0.355680811
174	0	0.643110084	0.922883319	0.355680811
175	0	0.663778051	0.924269868	0.355680811
176	0	0.671374865	0.910959	0.355652179
177	0	0.681889248	0.884463634	0.355652179
178	0.001319499	0.701203107	0.884161752	0.355652179
179	0.008421986	0.74862362	0.879654591	0.355652179
180	0.010494259	0.77958771	0.444769728	0.355633091
181	0.011951795	0.778926246	0.120889497	0.355633091
182	0.013182984	0.791625464	0.49171581	0.355633091
183	0.006466315	0.797371516	0.464069082	0.355633091
184	0.006782687	0.756242706	0.258245577	0.35560446
185	0.009075305	0.634390785	0.512559674	0.35560446
186	0	0.458200818	0.484712862	0.35560446
187	0	0.4555171	0.753148694	0.35560446
188	0	0.458610614	0.884495226	0.355575828
189	0	0.499385306	0.881897641	0.355575828
190	0	0.547095349	0.872451559	0.355575828
191	0	0.610600351	0.811366189	0.355575828
192	0	0.579010432	0.651070626	0.355575828
193	0	0.650337191	0.775624824	0.35555674
194	0	0.713069371	0.745240101	0.35555674
195	0	0.800890415	0.856199101	0.35555674
196	0	0.791246849	0.910962511	0.35555674
197	0	0.822518285	0.911991014	0.355528109
198	0	0.899956348	0.911991014	0.355528109
199	0	0.894818309	0.826207526	0.355528109
200	0	0.894196934	0.863237152	0.355528109
201	1.71475E-06	0.912308131	0.906241224	0.355509021
202	0.000761348	0.895662399	0.904419405	0.355509021
203	0.00933166	0.875125834	0.90842109	0.355509021
204	0.022503498	0.85323516	0.916596462	0.355509021
205	0.032456754	0.861393217	0.917312553	0.355480389
206	0.03933118	0.850849881	0.914525414	0.355480389
207	0.047584263	0.837700778	0.922451559	0.355480389
208	0.017768221	0.841297628	0.928605027	0.355480389
209	0.000735627	0.866431034	0.905216231	0.355451758
210	0	0.863141531	0.604286015	0.355451758
211	0	0.884762719	0.418590284	0.355451758
212	0	0.905408415	0.418590284	0.355451758
213	0	0.90270688	0.418590284	0.35543267
214	0	0.877168132	0.418590284	0.35543267
215	0	0.86443996	0.454882758	0.35543267
216	0	0.884272746	0.766677197	0.35543267
217	0	0.878978806	0.878980623	0.355356319
218	0	0.880450954	0.895759618	0.355203617
