,[10] - BE_BATT_LI,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[9] - BE_PHS,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-01-12 21:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,28376.009787165076
2015-01-12 22:00:00,3063.6795109949708,0.0,0.0,0.0,7456.7609999999995,15944.333740789169
2015-01-12 23:00:00,0.0,9258.448377523124,0.0,0.0,7456.7609999999995,21127.202226646677
2015-01-13 00:00:00,0.0,21889.78449424,0.0,0.0,7456.7609999999995,9227.174
2015-01-13 01:00:00,0.0,7634.350567920006,0.0,0.0,7456.7609999999995,19717.902
2015-01-13 02:00:00,0.0,6450.412684079998,0.0,0.0,7456.7609999999995,20805.632
2015-01-13 03:00:00,0.0,2911.088847520008,0.0,0.0,7456.7609999999995,22005.675
2015-01-13 04:00:00,0.0,3004.2880463200127,0.0,0.0,7456.7609999999995,22005.675
2015-01-13 05:00:00,0.0,4938.224533360008,0.0,0.0,7456.7609999999995,22005.675
2015-01-13 06:00:00,0.0,5409.312396640009,0.0,0.0,7456.7609999999995,22005.675
2015-01-13 07:00:00,0.0,3997.669306800013,0.0,0.0,7456.7609999999995,22005.675
2015-01-13 08:00:00,0.0,4421.610856280011,0.0,0.0,7456.7609999999995,22005.675
2015-01-13 09:00:00,0.0,9554.819726602134,0.0,0.0,7456.7609999999995,21874.089
2015-01-13 10:00:00,0.0,15596.572705295464,0.0,0.0,7456.7609999999995,20852.772
2015-01-13 11:00:00,0.0,13501.212829093756,0.0,0.0,7456.7609999999995,19831.389000000006
2015-01-13 12:00:00,0.0,13258.156673364318,0.0,0.0,7456.7609999999995,19377.441000000006
2015-01-13 13:00:00,0.0,11857.886196694748,0.0,0.0,7456.7609999999995,19150.467000000004
2015-01-13 14:00:00,0.0,5226.354785096613,0.0,0.0,7456.7609999999995,22232.51959992655
2015-01-13 15:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22795.91875576315
2015-01-13 16:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,21696.21876078737
2015-01-13 17:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,18646.08412014123
2015-01-13 18:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22586.23394580954
2015-01-13 19:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20670.17406453418
2015-01-13 20:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20192.30002171861
2015-01-13 21:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,21619.17415991243
2015-01-13 22:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-13 23:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-14 00:00:00,0.0,4306.122399878515,0.0,0.0,7456.7609999999995,16880.25156331691
2015-01-14 01:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,21281.980110180473
2015-01-14 02:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20269.72772477187
2015-01-14 03:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16101.156993658757
2015-01-14 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,19238.658394119568
2015-01-14 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22335.47774437476
2015-01-14 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22929.60302866396
2015-01-14 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20752.487681353177
2015-01-14 08:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-14 09:00:00,0.0,814.3302431726145,0.0,0.0,7456.7609999999995,21874.089
2015-01-14 10:00:00,0.0,4658.841910232606,0.0,0.0,7456.7609999999995,20852.772
2015-01-14 11:00:00,0.0,9635.130261212595,0.0,0.0,7456.7609999999995,19831.389000000006
2015-01-14 12:00:00,0.0,16807.16280527259,0.0,0.0,7456.7609999999995,19377.441000000006
2015-01-14 13:00:00,2054.942106863147,29094.192000000003,0.0,0.0,7456.7609999999995,19150.467000000004
2015-01-14 14:00:00,2377.1157909393587,29094.192000000003,0.0,0.0,7456.7609999999995,23414.00105853223
2015-01-14 15:00:00,0.0,15463.07512469594,0.0,0.0,7456.7609999999995,26432.464808728375
2015-01-14 16:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,19174.204390212617
2015-01-14 17:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14895.298390710162
2015-01-14 18:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20505.873656446736
2015-01-14 19:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-14 20:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-14 21:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-14 22:00:00,0.0,643.8814783326177,0.0,0.0,7456.7609999999995,22005.675
2015-01-14 23:00:00,0.0,3161.1114724926247,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 00:00:00,0.0,20311.631614732603,0.0,0.0,7456.7609999999995,9227.174
2015-01-15 01:00:00,0.0,5819.054932412606,0.0,0.0,7456.7609999999995,19717.902
2015-01-15 02:00:00,0.0,3830.20966945261,0.0,0.0,7456.7609999999995,20805.632
2015-01-15 03:00:00,0.0,2343.10886265262,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 04:00:00,0.0,2765.82468681261,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 05:00:00,0.0,29.002660618419924,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 07:00:00,0.0,1913.5262961726128,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 08:00:00,0.0,2001.1282421526178,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 09:00:00,0.0,5234.174236232618,0.0,0.0,7456.7609999999995,21874.089
2015-01-15 10:00:00,0.0,10219.39613062866,0.0,0.0,7456.7609999999995,20852.772
2015-01-15 11:00:00,0.0,13134.737671737179,0.0,0.0,7456.7609999999995,19831.389000000006
2015-01-15 12:00:00,0.0,15862.372262557656,0.0,0.0,7456.7609999999995,19377.441000000006
2015-01-15 13:00:00,0.0,17780.64523078808,0.0,0.0,7456.7609999999995,19150.467000000004
2015-01-15 14:00:00,0.0,14827.561749512022,0.0,0.0,7456.7609999999995,19377.441000000006
2015-01-15 15:00:00,0.0,11628.959212616623,0.0,0.0,7456.7609999999995,20058.363
2015-01-15 16:00:00,0.0,8234.356321025136,0.0,0.0,7456.7609999999995,20966.259
2015-01-15 17:00:00,0.0,3374.3562613556287,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 18:00:00,0.0,3801.552268676065,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 19:00:00,0.0,3906.483431500017,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 20:00:00,0.0,837.3449316046042,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 21:00:00,0.0,76.92232101311109,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 22:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-15 23:00:00,0.0,636.4905652195937,0.0,0.0,7456.7609999999995,22005.675
2015-01-16 00:00:00,0.0,11655.292430236956,0.0,0.0,7456.7609999999995,11524.654408832623
2015-01-16 01:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,23693.066046809374
2015-01-16 02:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20619.5392521863
2015-01-16 03:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,18423.69489418579
2015-01-16 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26856.77945342915
2015-01-16 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,25166.747898147336
2015-01-16 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,25290.61993870432
2015-01-16 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,25250.8095444918
2015-01-16 08:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,24138.94155198295
