Scenario,region,id,r,fuel_class,fraction
Baseline,Africa,1982,25,PEA,0.000166378
Baseline,Africa,1982,25,SUN,0.009619992
Baseline,Africa,1982,25,WAT,0.166439544
Baseline,Africa,1982,25,WIN,0.01795773
Baseline,Africa,1984,26,BIO,0.003127542
Baseline,Africa,1984,26,GAS,0.383711582
Baseline,Africa,1984,26,GEO,0.006590526
Baseline,Africa,1984,26,HRD,0.373694564
Baseline,Africa,1984,26,NUC,0.021407245
Baseline,Africa,1984,26,OIL,0.016272577
Baseline,Africa,1984,26,PEA,0.000166378
Baseline,Africa,1984,26,SUN,0.009624062
Baseline,Africa,1984,26,WAT,0.16733962
Baseline,Africa,1984,26,WIN,0.018065905
Baseline,Africa,1996,27,BIO,0.00321595
Baseline,Africa,1996,27,GAS,0.375996298
Baseline,Africa,1996,27,GEO,0.00659106
Baseline,Africa,1996,27,HRD,0.384997046
Baseline,Africa,1996,27,NUC,0.021408978
Baseline,Africa,1996,27,OIL,0.012046214
Baseline,Africa,1996,27,PEA,0.000166391
Baseline,Africa,1996,27,SUN,0.009624513
Baseline,Africa,1996,27,WAT,0.167811635
Baseline,Africa,1996,27,WIN,0.018141914
Baseline,Africa,1995,28,BIO,0.00298184
Baseline,Africa,1995,28,GAS,0.383136082
Baseline,Africa,1995,28,GEO,0.00658998
Baseline,Africa,1995,28,HRD,0.372287899
Baseline,Africa,1995,28,NUC,0.02140547
Baseline,Africa,1995,28,OIL,0.015912449
Baseline,Africa,1995,28,PEA,0.000166364
Baseline,Africa,1995,28,SUN,0.009618687
Baseline,Africa,1995,28,WAT,0.16981265
Baseline,Africa,1995,28,WIN,0.018088579
Baseline,Africa,1981,29,BIO,0.003115497
Baseline,Africa,1981,29,GAS,0.379668988
Baseline,Africa,1981,29,GEO,0.006591162
Baseline,Africa,1981,29,HRD,0.376121986
Baseline,Africa,1981,29,NUC,0.021409309
Baseline,Africa,1981,29,OIL,0.015320809
Baseline,Africa,1981,29,PEA,0.000166394
Baseline,Africa,1981,29,SUN,0.009620975
Baseline,Africa,1981,29,WAT,0.16994347
Baseline,Africa,1981,29,WIN,0.018041411
Baseline,Africa,2010,30,BIO,0.003006753
Baseline,Africa,2010,30,GAS,0.385639607
Baseline,Africa,2010,30,GEO,0.006590566
Baseline,Africa,2010,30,HRD,0.370065612
Baseline,Africa,2010,30,NUC,0.021407373
Baseline,Africa,2010,30,OIL,0.014096765
Baseline,Africa,2010,30,PEA,0.000166379
Baseline,Africa,2010,30,SUN,0.009621296
Baseline,Africa,2010,30,WAT,0.171408101
Baseline,Africa,2010,30,WIN,0.017997547
Baseline,Africa,1990,31,BIO,0.002989678
Baseline,Africa,1990,31,GAS,0.381324189
Baseline,Africa,1990,31,GEO,0.006590077
Baseline,Africa,1990,31,HRD,0.374379018
Baseline,Africa,1990,31,NUC,0.021405786
Baseline,Africa,1990,31,OIL,0.013629293
Baseline,Africa,1990,31,PEA,0.000166366
Baseline,Africa,1990,31,SUN,0.009619345
Baseline,Africa,1990,31,WAT,0.171828267
Baseline,Africa,1990,31,WIN,0.018067979
Baseline,Africa,1991,32,BIO,0.003021622
Baseline,Africa,1991,32,GAS,0.378399428
Baseline,Africa,1991,32,GEO,0.006590883
Baseline,Africa,1991,32,HRD,0.374040972
Baseline,Africa,1991,32,NUC,0.021408404
Baseline,Africa,1991,32,OIL,0.014082595
Baseline,Africa,1991,32,PEA,0.000166387
Baseline,Africa,1991,32,SUN,0.009621219
Baseline,Africa,1991,32,WAT,0.174655957
Baseline,Africa,1991,32,WIN,0.018012533
Baseline,Africa,1989,33,BIO,0.002999085
Baseline,Africa,1989,33,GAS,0.379068638
Baseline,Africa,1989,33,GEO,0.006590278
Baseline,Africa,1989,33,HRD,0.374081063
Baseline,Africa,1989,33,NUC,0.021406438
Baseline,Africa,1989,33,OIL,0.012857997
Baseline,Africa,1989,33,PEA,0.000166371
Baseline,Africa,1989,33,SUN,0.009620422
Baseline,Africa,1989,33,WAT,0.175154278
Baseline,Africa,1989,33,WIN,0.018055431
Baseline,Africa,1980,34,BIO,0.003061536
Baseline,Africa,1980,34,GAS,0.381257892
Baseline,Africa,1980,34,GEO,0.006590831
Baseline,Africa,1980,34,HRD,0.368364962
Baseline,Africa,1980,34,NUC,0.021408234
Baseline,Africa,1980,34,OIL,0.014461447
Baseline,Africa,1980,34,PEA,0.000166385
Baseline,Africa,1980,34,SUN,0.009624232
Baseline,Africa,1980,34,WAT,0.17696234
Baseline,Africa,1980,34,WIN,0.018102141
Baseline,Africa,1988,35,BIO,0.002972569
Baseline,Africa,1988,35,GAS,0.37000421
Baseline,Africa,1988,35,GEO,0.006590657
Baseline,Africa,1988,35,HRD,0.374235451
Baseline,Africa,1988,35,NUC,0.02140767
Baseline,Africa,1988,35,OIL,0.013177858
Baseline,Africa,1988,35,PEA,0.000166381
Baseline,Africa,1988,35,SUN,0.009624432
Baseline,Africa,1988,35,WAT,0.183689744
Baseline,Africa,1988,35,WIN,0.018131028
Baseline,Africa,1986,36,BIO,0.003116034
Baseline,Africa,1986,36,GAS,0.372652937
Baseline,Africa,1986,36,GEO,0.006590922
Baseline,Africa,1986,36,HRD,0.370111798
Baseline,Africa,1986,36,NUC,0.021408532
Baseline,Africa,1986,36,OIL,0.013206794
Baseline,Africa,1986,36,PEA,0.000166388
Baseline,Africa,1986,36,SUN,0.009621181
Baseline,Africa,1986,36,WAT,0.185074369
Baseline,Africa,1986,36,WIN,0.018051045
Baseline,Africa,1985,37,BIO,0.002840697
Baseline,Africa,1985,37,GAS,0.374674861
Baseline,Africa,1985,37,GEO,0.006590629
Baseline,Africa,1985,37,HRD,0.364398381
Baseline,Africa,1985,37,NUC,0.021407579
Baseline,Africa,1985,37,OIL,0.014910613
Baseline,Africa,1985,37,PEA,0.00016638
Baseline,Africa,1985,37,SUN,0.009617742
Baseline,Africa,1985,37,WAT,0.187329392
Baseline,Africa,1985,37,WIN,0.018063726
Baseline,Africa,1998,38,BIO,0.002929689
Baseline,Africa,1998,38,GAS,0.377054963
Baseline,Africa,1998,38,GEO,0.006590262
Baseline,Africa,1998,38,HRD,0.361069472
Baseline,Africa,1998,38,NUC,0.021406388
Baseline,Africa,1998,38,OIL,0.015084705
Baseline,Africa,1998,38,PEA,0.000166371
Baseline,Africa,1998,38,SUN,0.009617742
Baseline,Africa,1998,38,WAT,0.18809851
Baseline,Africa,1998,38,WIN,0.017981898
Baseline,Africa,1987,39,BIO,0.003047389
Baseline,Africa,1987,39,GAS,0.370809703
Baseline,Africa,1987,39,GEO,0.006590368
Baseline,Africa,1987,39,HRD,0.364339875
Baseline,Africa,1987,39,NUC,0.021406732
Baseline,Africa,1987,39,OIL,0.014240448
Baseline,Africa,1987,39,PEA,0.000166374
Baseline,Africa,1987,39,SUN,0.00961963
Baseline,Africa,1987,39,WAT,0.191862981
Baseline,Africa,1987,39,WIN,0.017916501
Baseline,CAPP,1983,1,BIO,0.001768377
Baseline,CAPP,1983,1,GAS,0.087365078
Baseline,CAPP,1983,1,GEO,0
