Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Baseline,2002,SAPP,0.000890953,0.11727596,0.000597597,0.078661518
Thermal,Baseline,2003,SAPP,0.000900422,0.132758315,0.000603948,0.089046132
Thermal,Baseline,2004,SAPP,0.000911142,0.134336977,0.000611138,0.090105002
Thermal,Baseline,2005,SAPP,0.000902003,0.121735753,0.000605008,0.081652874
Thermal,Baseline,2006,SAPP,0.000906165,0.127893082,0.0006078,0.085782832
Thermal,Baseline,2007,SAPP,0.000877318,0.126835063,0.000588451,0.085073178
Thermal,Baseline,2008,SAPP,0.000913319,0.114487019,0.000612598,0.076790868
Thermal,Baseline,2009,SAPP,0.000913816,0.112055955,0.000612932,0.075160259
Thermal,Baseline,2010,SAPP,0.000869647,0.156003975,0.000583306,0.104637894
Thermal,Baseline,2011,SAPP,0.00089261,0.131857222,0.000598708,0.088441734
Thermal,Baseline,2012,SAPP,0.000895374,0.138777428,0.000600562,0.093083384
Thermal,Baseline,2013,SAPP,0.000884167,0.149684762,0.000593045,0.100399354
Thermal,Baseline,2014,SAPP,0.000886432,0.123680519,0.000594564,0.082957303
Thermal,Baseline,2015,SAPP,0.000892343,0.135838558,0.000598529,0.09111217
Thermal,Baseline,2016,SAPP,0.000871042,0.15622526,0.000584242,0.104786319
Thermal,Baseline,2017,SAPP,0.000898765,0.139529164,0.000602836,0.093587602
Thermal,Baseline,2018,SAPP,0.00086695,0.1412836,0.000581497,0.09476437
Thermal,Baseline,1980,WAPP,1.09427E-05,0.000760292,8.70754E-06,0.000604993
Thermal,Baseline,1981,WAPP,1.10785E-05,0.000753052,8.81557E-06,0.000599232
Thermal,Baseline,1982,WAPP,1.12593E-05,0.000769797,8.95944E-06,0.000612557
Thermal,Baseline,1983,WAPP,1.20364E-05,0.000876062,9.57782E-06,0.000697116
Thermal,Baseline,1984,WAPP,1.19831E-05,0.000821696,9.53542E-06,0.000653855
Thermal,Baseline,1985,WAPP,1.01143E-05,0.000697408,8.04836E-06,0.000554954
Thermal,Baseline,1986,WAPP,1.08487E-05,0.000749223,8.63274E-06,0.000596186
Thermal,Baseline,1987,WAPP,1.11945E-05,0.00081257,8.90792E-06,0.000646593
Thermal,Baseline,1988,WAPP,1.07108E-05,0.000713165,8.52298E-06,0.000567492
Thermal,Baseline,1989,WAPP,1.19434E-05,0.000836659,9.5038E-06,0.000665762
Thermal,Baseline,1990,WAPP,1.13817E-05,0.000779903,9.05687E-06,0.000620598
Thermal,Baseline,1991,WAPP,1.11784E-05,0.000808687,8.89509E-06,0.000643503
Thermal,Baseline,1992,WAPP,1.16506E-05,0.00080031,9.27085E-06,0.000636837
Thermal,Baseline,1993,WAPP,1.191E-05,0.000820987,9.47727E-06,0.000653291
Thermal,Baseline,1994,WAPP,1.09128E-05,0.000749337,8.68375E-06,0.000596276
Thermal,Baseline,1995,WAPP,1.09558E-05,0.000764065,8.71791E-06,0.000607996
Thermal,Baseline,1996,WAPP,1.1304E-05,0.000760776,8.99502E-06,0.000605379
Thermal,Baseline,1997,WAPP,1.22494E-05,0.000817635,9.74735E-06,0.000650624
Thermal,Baseline,1998,WAPP,1.10847E-05,0.000761312,8.82053E-06,0.000605805
Thermal,Baseline,1999,WAPP,1.17059E-05,0.000766653,9.31486E-06,0.000610055
Thermal,Baseline,2000,WAPP,1.32832E-05,0.001032703,1.057E-05,0.000821761
Thermal,Baseline,2001,WAPP,1.25164E-05,0.000839474,9.95976E-06,0.000668001
Thermal,Baseline,2002,WAPP,1.33323E-05,0.000965829,1.0609E-05,0.000768547
Thermal,Baseline,2003,WAPP,1.28187E-05,0.000961803,1.02003E-05,0.000765344
Thermal,Baseline,2004,WAPP,1.31949E-05,0.0009834,1.04997E-05,0.000782529
Thermal,Baseline,2005,WAPP,1.33558E-05,0.001005097,1.06278E-05,0.000799794
