Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLCapitalf_STO	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLCapitalf_STO_in	SLCapitalf_STO_out	
 69	2.070896	39.419592	0.000000	0.000000	0.000000	1.452614	0.000000	232.022046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.414221	0.000000	
 70	2.070896	39.411708	0.000000	0.000000	0.000000	1.452614	0.000000	232.552199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 71	2.070896	39.403826	0.000000	0.000000	0.000000	1.452614	0.000000	233.159639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.607441	0.000000	
 72	2.070896	39.395945	0.000000	0.000000	0.000000	1.452614	0.000000	233.844368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.684728	0.000000	
 73	2.070896	39.388066	0.000000	0.000000	0.000000	1.452614	0.000000	234.548418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.704050	0.000000	
 74	2.070896	39.380188	0.000000	0.000000	0.000000	1.452614	0.000000	235.271790	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.723372	0.000000	
 75	2.070896	39.372312	0.000000	0.000000	0.000000	1.452614	0.000000	236.001603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.729813	0.000000	
 76	2.070896	38.654551	0.000000	0.000000	0.000000	1.452614	0.000000	236.660568	0.000000	0.000000	0.000000	0.709887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.658966	0.000000	
 77	2.070896	37.564105	0.000000	0.000000	0.000000	1.452614	0.000000	237.190721	0.000000	0.000000	0.000000	1.082714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 78	2.070896	35.789467	0.000000	0.000000	0.000000	1.452614	0.000000	237.411723	0.000000	0.000000	0.000000	1.767125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.221002	0.000000	
